autor,texto,data_publicacao,comentarios,reposts,likes,visualizacoes
futebol_info,"🏆 Os campeões estaduais de 2026 até o momento:

• Alagoano: CRB
• Baiano: Bahia
• Carioca: Flamengo
• Catarinense: Barra
• Cearense: Fortaleza
• Gaúcho: Grêmio
• Maranhense: IAPE
• Mato-Grossense: Mixto
• Mineiro: Cruzeiro
• Paraense: Paysandu
• Paranaense: Operário
• Paulista: Palmeiras
• Pernambucano: Sport

Seu time ganhou taça?

🔞 Jogue com responsabilidade na @betnacional: record.nsxafiliados.com/_5Ys… #ad",2026-03-09 13:23:00,24,18,651,240027
futebol_info,"O prêmio que o craque do Paulistão 2026 receberá na cerimônia de hoje. Para quem você daria o anel?

🗞️ @danilolavieri 
📸 Divulgação",2026-03-09 20:20:00,60,1,253,14810
futebol_info,"⚠️ Agora! Vanderson passará por cirurgia na coxa e está praticamente fora da Copa do Mundo.

A previsão inicial é de que o lateral-direito leve pelo menos 3 meses até voltar aos campos, o que praticamente encerra o sonho de defender o Brasil na Copa.

🗞️ @geglobo | @cahemota 
📸 Rafael Ribeiro/CBF",2026-03-09 20:05:00,64,14,851,34624
futebol_info,"⚠️ Agora! Ausência de Neymar em Mirassol x Santos frustra CBF e põe convocação em xeque.

Ancelotti vai ao interior paulista e gostaria de ver o camisa 10 atuando amanhã. A ideia era comprovar que Neymar estaria bem fisicamente para tê-lo na última convocação antes da Copa do Mundo. No entanto, o craque não foi relacionado por desgaste muscular e risco de lesão.

O Santos não foi consultado pela CBF sobre a ida de Ancelotti a Mirassol e a avaliação interna é de que houve uma falha de comunicação. O treinador vai manter a viagem para evitar a sensação de que iria ""apenas para ver Neymar"", apesar de que esse era o real motivo.

A situação deixa claro para Ancelotti que Neymar ainda não atingiu seu ápice físico.

🗞️ @geglobo 
📸 Raul Baretta/SFC",2026-03-09 19:41:00,125,14,1460,91907
futebol_info,"Novorizontino tenta evitar 'desmanche' após vice no Paulistão.

O Tigre já vinha sofrendo forte assédio por seus principais jogadores nas últimas semanas, mas conseguiu ""congelar"" todas as conversas, mantendo o foco no Estadual. Agora, o clube terá dias decisivos.

Fontes do Novorizontino indicam que será difícil manter todos os nomes de peso, mas o planejamento já está traçado: para cada saída, trazer uma reposição à altura.

Um dos mais cobiçados é o zagueiro Dantas. O Athletico foi o único que fez proposta, mas Internacional, Botafogo, Corinthians e Fluminense também sondaram.

O zagueiro Patrick e o volante Luís Oyama também receberam várias sondagens.

Por fim, o meia Rômulo, que pertence ao Palmeiras, tem propostas de Red Bull Bragantino e Remo.

O Novorizontino se vê respaldado por altas multas contratuais pelo menos para clubes da Série B, mas sabe que ofertas da Série A mexem com os atletas.

🗞️ @ESPNBrasil 
📸 Rainier Moura/Novorizontino",2026-03-09 19:35:00,7,4,292,30140
futebol_info,"Gustavo Gómez se isola como maior campeão da história do Palmeiras.

O zagueiro paraguaio chegou a 13 títulos pelo Verdão e superou Ademir da Guia, Dudu, Junqueira, Marcos Rocha, Mayke e Weverton, todos com 12.

🗞️ @geglobo
📸 Cesar Greco/SEP",2026-03-09 19:26:00,19,11,477,21359
futebol_info,"Seleção Brasileira deve convocar 5 zagueiros para a Copa do Mundo.

Marquinhos e Gabriel Magalhães têm lugar garantido, e Danilo e Fabrício Bruno também gozam de prestígio com Ancelotti.

Há uma disputa em aberto pela 5ª vaga. Léo Pereira, do Flamengo, e Bremer, da Juventus, estão na pré-lista para a próxima convocação.

🗞️ @geglobo
📸 Adriano Fontes/CRF | Juventus",2026-03-09 19:13:00,100,21,1545,90866
futebol_info,"⚠️ Roger Machado é o favorito absoluto para ser o novo técnico do São Paulo. Não há outro nome na mira do Tricolor.

🗞️ @UOL | @valentinfurlan_ 
📸 Ricardo Duarte/SCI",2026-03-09 19:04:00,220,11,720,111741
futebol_info,"PC Vasconcellos critica falta de Fair Play dos times derrotados nas finais dos estaduais pelo Brasil.

🎥 @sportv | @geglobo",2026-03-09 18:49:00,22,25,595,31735
futebol_info,"⚠️ Post do volante Alisson (emprestado pelo São Paulo ao Fluminense) após a demissão do técnico Hernán Crespo no Tricolor Paulista:

“Deus nunca dorme, a verdade sempre aparece. Caráter, pra mim, nunca se negocia.”

“Rapaz, a verdade ninguém fala? Estranho, hein…”

📸 Reprodução",2026-03-09 18:43:00,138,27,2095,225971
futebol_info,"⚠️ Alguns dirigentes do São Paulo sugeriram a contratação de Fernando Diniz para substituir Hernán Crespo, mas a ideia não deve avançar. Roger Machado agrada mais internamente para ser o novo técnico tricolor.

🗞️ @UOL | @valentinfurlan_ 
📸 Matheus Lima/CRVG | Ricardo Duarte/SCI",2026-03-09 18:18:00,161,27,1203,87878
futebol_info,"⚠️ AGORA! Roger Machado é o alvo do São Paulo para substituir Hernán Crespo.

O Tricolor chegou a procurar Filipe Luís, mas ouviu que o ex-técnico do Flamengo não tem interesse em trabalhar no Brasil em 2026.

🗞️ @OGabrielSa
📸 Ricardo Duarte/SCI | Gilvan de Souza/CRF",2026-03-09 18:13:00,219,71,4301,170555
futebol_info,"A chance de Filipe Luís ser o novo técnico do São Paulo é zero.

🗞️ @UOL | @valentinfurlan_ 
📸 Adriano Fontes/CRF",2026-03-09 18:04:00,82,28,2302,80867
futebol_info,"⚠️ Agora! São Paulo já deve ter um novo técnico no jogo desta quinta-feira, contra a Chapecoense.

🗞️ @mabragatchelo 
📸 Divulgação",2026-03-09 18:03:00,104,10,1101,63913
futebol_info,"⚠️ Bastidores: houve divergências após a reunião entre Crespo e a diretoria do São Paulo hoje.

Após o encontro, a direção definiu que o treinador não está alinhado com o planejamento para 2026 e, por isso, decidiu demiti-lo.

Outro ponto é que Crespo queria levar a sério o Brasileirão, enquanto a diretoria queria priorizar as Copas (Sul-Americana e Copa do Brasil).

A decisão não foi em comum acordo. Crespo queria ficar.

O São Paulo pagará R$ 3,8 milhões de multa rescisória ao técnico argentino.

🗞️ @_alexsander
📸 Anuar Sayed/SPFC",2026-03-09 17:37:00,281,45,3599,294648
futebol_info,"⚠️ OFICIAL! São Paulo acaba de anunciar a saída do técnico Hernán Crespo.

📸 Divulgação | Gabriel Sá",2026-03-09 17:27:00,155,33,2200,134329
futebol_info,"⚠️ URGENTE!

Crespo não é mais técnico do São Paulo.

Por uma série de divergências internas sobre o planejamento para 2026, a diretoria tricolor decidiu demitir o técnico argentino. O comunicado foi feito nesta tarde.

🗞️ @OGabrielSa
📸 Fellipe Lucena/SPFC",2026-03-09 17:21:00,285,58,3573,230315
futebol_info,"Emprestado pelo Palmeiras ao Novorizontino, o meia Rômulo tem duas propostas da Série A: Red Bull Bragantino e Remo.

O jogador se interessou pela oferta do Bragantino. Novas investidas devem surgir em breve.

O Palmeiras não conta com Rômulo no futuro e pensa em vendê-lo.

🗞️ @ESPNBrasil
📸 Juan Rodrigues/Novorizontino",2026-03-09 17:12:00,11,5,326,39187
futebol_info,"Novorizontino tem de pagar ainda hoje a multa de R$ 1 milhão ao Palmeiras por ter escalado o meia Rômulo contra o Alviverde ontem, na final do Paulistão.

🗞️ @ESPNBrasil 
📸 Ozzair Júnior/Novorizontino",2026-03-09 17:05:00,36,11,786,53580
futebol_info,"Mesmo sem Neymar, Ancelotti vai ao Maião para acompanhar Mirassol x Santos, amanhã.

Embora lamente a ausência do camisa 10, a CBF não mudou o planejamento e decidiu manter a viagem para o interior paulista.

🗞️ @geglobo
📸 Raul Baretta/SFC | Rafael Ribeiro/CBF",2026-03-09 16:56:00,40,11,1014,53469
futebol_info,"⚠️ Internacional enviará um novo ofício à Federação Gaúcha de Futebol solicitando explicações sobre a arbitragem de Rafael Klein no Gre-Nal de ontem. 

O Inter entende que nada acontecerá, pois o erro já ocorreu, mas considera que é necessária uma transparência da Federação.

🗞️ @_olucasdias
📸 Ricardo Duarte/SCI",2026-03-09 16:51:00,125,10,821,56445
